RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Age_Group,Satisfaction_Group
134,15642004,Alekseeva,686,France,Male,25,1,76486.0,2,No,Yes,16459.37,0,Not Complained,1,DIAMOND,578,Young,Very Dissatisfied
135,15712543,Chinweike,789,Germany,Male,39,7,124828.0,2,Yes,Yes,124411.08,0,Not Complained,2,PLATINUM,377,Middle_Age,Dissatisfied
136,15584518,Arthur,589,Germany,Female,50,5,144895.0,2,Yes,Yes,34941.23,0,Not Complained,2,GOLD,831,Senior,Dissatisfied
137,15802381,Li,461,Germany,Female,34,5,63664.0,1,No,Yes,167784.28,0,Not Complained,1,SILVER,497,Early_Adult,Very Dissatisfied
138,15610156,Ma,637,France,Male,40,2,133463.0,1,No,Yes,93165.34,0,Not Complained,1,PLATINUM,374,Middle_Age,Very Dissatisfied
139,15594408,Chia,584,Spain,Female,48,2,213146.0,1,Yes,No,75161.25,1,Not Complained,4,DIAMOND,814,Senior,Satisfied
140,15640905,Vasin,579,Spain,Female,35,1,129490.0,2,No,Yes,8590.83,1,Complained,4,GOLD,247,Early_Adult,Satisfied
141,15698932,Groves,756,Germany,Male,44,10,137452.0,1,Yes,No,189543.9,0,Not Complained,5,PLATINUM,965,Middle_Age,Very Satisfied
142,15724944,Tien,663,France,Male,34,7,76486.0,2,Yes,Yes,180427.24,0,Not Complained,3,SILVER,912,Early_Adult,Neutral
143,15628145,Forwood,682,France,Female,43,5,125852.0,1,Yes,Yes,193318.33,0,Not Complained,4,GOLD,462,Middle_Age,Satisfied
144,15713483,Greeves,793,Spain,Male,52,2,76486.0,1,Yes,No,159123.82,1,Complained,5,GOLD,883,Senior,Very Satisfied
145,15612350,Taylor,691,France,Female,31,5,40916.0,1,Yes,No,126213.84,1,Not Complained,2,SILVER,402,Early_Adult,Dissatisfied
146,15800703,Madukwe,485,Spain,Female,21,5,113157.0,1,Yes,Yes,54141.5,0,Not Complained,4,GOLD,764,Young,Satisfied
147,15705707,Bennelong,635,Spain,Female,29,8,138297.0,2,Yes,No,141075.51,0,Not Complained,1,PLATINUM,608,Early_Adult,Very Dissatisfied
148,15754105,Olisanugo,650,France,Male,37,5,106967.0,1,No,No,24495.03,0,Not Complained,5,PLATINUM,652,Middle_Age,Very Satisfied
149,15703264,Chukwufumnanya,735,France,Male,44,9,120682.0,1,Yes,No,74836.34,0,Not Complained,2,SILVER,520,Middle_Age,Dissatisfied
150,15794413,Harris,416,France,Male,32,0,76486.0,2,No,Yes,878.87,0,Not Complained,5,GOLD,884,Early_Adult,Very Satisfied
151,15650237,Morgan,754,Spain,Female,32,7,76486.0,2,Yes,No,89520.75,0,Not Complained,1,SILVER,800,Early_Adult,Very Dissatisfied
152,15759618,Alexeeva,535,France,Female,48,9,76486.0,1,Yes,No,149892.79,1,Complained,4,GOLD,697,Senior,Satisfied
153,15811589,Metcalfe,716,Spain,Male,42,8,76486.0,2,Yes,No,180800.42,0,Not Complained,2,SILVER,427,Middle_Age,Dissatisfied
154,15689044,Humphries,539,France,Male,37,2,127610.0,1,Yes,No,98646.22,0,Not Complained,1,DIAMOND,620,Middle_Age,Very Dissatisfied
155,15709368,Milne,614,France,Female,43,6,76486.0,2,Yes,Yes,109041.53,0,Not Complained,1,PLATINUM,318,Middle_Age,Very Dissatisfied
156,15679145,Chou,706,Spain,Male,57,7,76486.0,1,Yes,No,17941.16,1,Complained,1,GOLD,701,Senior,Very Dissatisfied
157,15655007,Li,758,France,Female,33,7,76486.0,2,No,No,82996.47,0,Not Complained,4,PLATINUM,953,Early_Adult,Satisfied
158,15623595,Clayton,586,Spain,Female,28,2,76486.0,2,Yes,Yes,92067.35,0,Not Complained,5,PLATINUM,635,Early_Adult,Very Satisfied
159,15589975,Maclean,646,France,Female,73,6,97259.0,1,No,Yes,104719.66,0,Not Complained,1,PLATINUM,250,Elder,Very Dissatisfied
160,15804017,Chigolum,631,Germany,Female,33,4,123247.0,1,No,No,112687.57,0,Not Complained,3,SILVER,662,Early_Adult,Neutral
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.0,1,No,Yes,84699.56,0,Not Complained,2,GOLD,666,Young,Dissatisfied
162,15641122,Wei,684,France,Male,30,2,76486.0,2,Yes,No,83473.82,0,Not Complained,4,DIAMOND,699,Early_Adult,Satisfied
163,15630910,Treacy,800,France,Female,49,7,108007.0,1,No,No,47125.11,0,Not Complained,3,PLATINUM,855,Senior,Neutral
164,15680772,Hu,721,Spain,Female,36,2,76486.0,2,Yes,Yes,106977.8,0,Not Complained,5,SILVER,534,Middle_Age,Very Satisfied
165,15658929,Taverner,683,Spain,Male,29,0,133703.0,1,Yes,No,55582.54,1,Complained,1,PLATINUM,388,Early_Adult,Very Dissatisfied
166,15585388,Sherman,660,Germany,Male,31,9,125190.0,2,Yes,Yes,139874.43,0,Not Complained,5,GOLD,612,Early_Adult,Very Satisfied
167,15724623,Taubman,704,Germany,Female,24,7,113034.0,1,Yes,No,162503.48,1,Complained,2,PLATINUM,801,Young,Dissatisfied
168,15588537,Robinson,615,Spain,Female,41,9,109013.0,1,Yes,No,196499.96,0,Not Complained,1,PLATINUM,561,Middle_Age,Very Dissatisfied
169,15574692,Pinto,667,Spain,Female,39,2,76486.0,2,Yes,No,40721.24,1,Complained,5,PLATINUM,308,Middle_Age,Very Satisfied
170,15611325,Wood,682,Germany,Male,24,9,57930.0,2,No,No,53134.3,0,Not Complained,5,SILVER,643,Young,Very Satisfied
171,15587562,Hawkins,484,France,Female,29,4,130114.0,1,Yes,No,164017.89,0,Not Complained,1,GOLD,249,Early_Adult,Very Dissatisfied
172,15613172,Sun,628,Germany,Male,27,5,95826.0,2,Yes,No,155996.96,0,Complained,2,SILVER,818,Early_Adult,Dissatisfied
173,15651022,Yost,480,Germany,Male,44,10,129609.0,1,Yes,No,5472.7,1,Complained,1,GOLD,775,Middle_Age,Very Dissatisfied
174,15586310,Ting,578,France,Male,30,4,169462.0,1,Yes,No,112187.11,0,Complained,5,DIAMOND,872,Early_Adult,Very Satisfied
175,15625524,Rowe,512,France,Male,40,5,76486.0,2,Yes,Yes,146457.83,0,Not Complained,3,DIAMOND,435,Middle_Age,Neutral
176,15755209,Fu,484,Spain,Female,35,7,133868.0,1,Yes,Yes,27286.1,0,Not Complained,2,SILVER,415,Early_Adult,Dissatisfied
177,15645248,Ho,510,France,Female,30,0,76486.0,2,Yes,Yes,130553.47,0,Not Complained,2,DIAMOND,430,Early_Adult,Dissatisfied
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.0,2,No,No,179351.89,0,Not Complained,5,PLATINUM,929,Middle_Age,Very Satisfied
179,15762615,Campbell,597,Spain,Female,40,8,101993.0,1,No,Yes,94774.12,0,Not Complained,5,SILVER,681,Middle_Age,Very Satisfied
180,15625426,Ashbolt,754,Germany,Female,55,3,161609.0,1,Yes,No,8080.85,1,Complained,4,GOLD,810,Senior,Satisfied
181,15716334,Rozier,850,Spain,Female,45,2,122311.0,1,Yes,Yes,19482.5,0,Not Complained,5,GOLD,739,Middle_Age,Very Satisfied
182,15789669,Hsia,510,France,Male,65,2,76486.0,2,Yes,Yes,48071.61,0,Not Complained,1,SILVER,280,Elder,Very Dissatisfied
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.0,2,Yes,No,174531.27,0,Not Complained,2,DIAMOND,250,Middle_Age,Dissatisfied
184,15810845,T'ang,636,France,Male,42,2,76486.0,2,Yes,Yes,55470.78,0,Not Complained,4,PLATINUM,991,Middle_Age,Satisfied
185,15719377,Cocci,804,France,Female,50,4,76486.0,1,Yes,Yes,8546.87,1,Complained,2,GOLD,482,Senior,Dissatisfied
186,15654506,Chang,514,France,Male,32,8,76486.0,2,Yes,No,95857.18,0,Not Complained,4,PLATINUM,423,Early_Adult,Satisfied
187,15771977,T'ao,730,France,Female,39,1,99011.0,1,Yes,No,194945.8,0,Not Complained,5,GOLD,260,Middle_Age,Very Satisfied
188,15708710,Ford,525,Spain,Female,37,0,76486.0,1,No,Yes,131521.72,0,Not Complained,5,SILVER,642,Middle_Age,Very Satisfied
189,15726676,Marshall,616,Spain,Male,30,5,76486.0,2,No,Yes,196108.51,0,Not Complained,4,PLATINUM,701,Early_Adult,Satisfied
